play_name,act,character,anger,disgust,fear,neutral,sadness,joy,surprise
All's Well That Ends Well,5,Helena,0,0.0,1.0,1,0.0,0.0,
All's Well That Ends Well,5,Parolles,0,2.0,0.0,0,0.0,0.0,
As You Like It,1,Orlando,1,0.0,0.0,0,1.0,0.0,
As You Like It,1,Rosalind,0,0.0,1.0,0,0.0,1.0,
As You Like It,2,Jaques,0,0.0,0.0,0,2.0,0.0,
As You Like It,2,Orlando,1,0.0,0.0,0,1.0,1.0,
As You Like It,2,Rosalind,0,0.0,0.0,0,1.0,0.0,
As You Like It,3,Jaques,0,2.0,0.0,0,0.0,0.0,
As You Like It,3,Orlando,0,0.0,0.0,0,1.0,0.0,
As You Like It,3,Rosalind,1,1.0,0.0,0,1.0,0.0,
As You Like It,4,Jaques,0,0.0,0.0,1,1.0,0.0,
As You Like It,4,Orlando,1,0.0,0.0,0,0.0,0.0,
As You Like It,4,Rosalind,1,0.0,0.0,0,1.0,0.0,
As You Like It,5,Jaques,0,0.0,0.0,1,0.0,0.0,
As You Like It,5,Orlando,1,0.0,1.0,0,0.0,0.0,
As You Like It,5,Rosalind,2,0.0,0.0,0,0.0,0.0,
Cymbeline,1,Imogen,2,0.0,0.0,0,1.0,,
Cymbeline,1,Pisanio,1,0.0,1.0,2,0.0,,
Cymbeline,1,Posthumus Leonatus,1,0.0,0.0,0,1.0,,
Cymbeline,2,Imogen,1,0.0,0.0,0,0.0,,
Cymbeline,2,Pisanio,0,0.0,0.0,1,0.0,,
Cymbeline,2,Posthumus Leonatus,1,0.0,1.0,0,0.0,,
Cymbeline,3,Imogen,1,0.0,1.0,0,1.0,,
Cymbeline,3,Pisanio,1,1.0,0.0,0,1.0,,
Cymbeline,4,Imogen,0,0.0,1.0,0,0.0,,
Cymbeline,4,Pisanio,0,0.0,1.0,0,0.0,,
Cymbeline,5,Imogen,0,0.0,0.0,0,1.0,,
Cymbeline,5,Pisanio,0,0.0,1.0,0,0.0,,
Cymbeline,5,Posthumus Leonatus,2,1.0,1.0,0,0.0,,
Love's Labours Lost,1,Adriano De Armado,0,0.0,,0,1.0,0.0,
Love's Labours Lost,1,Biron,0,0.0,,0,1.0,0.0,
Love's Labours Lost,1,Costard,0,1.0,,1,0.0,0.0,
Love's Labours Lost,2,Biron,0,0.0,,0,1.0,0.0,
Love's Labours Lost,3,Adriano De Armado,0,1.0,,0,0.0,0.0,
Love's Labours Lost,3,Biron,1,0.0,,0,0.0,0.0,
Love's Labours Lost,3,Costard,1,0.0,,0,0.0,0.0,
Love's Labours Lost,4,Biron,0,0.0,,0,1.0,0.0,
Love's Labours Lost,4,Costard,0,2.0,,1,0.0,0.0,
Love's Labours Lost,5,Adriano De Armado,0,0.0,,1,0.0,1.0,
Love's Labours Lost,5,Biron,1,0.0,,0,0.0,0.0,
Love's Labours Lost,5,Costard,1,0.0,,0,0.0,1.0,
Measure for Measure,1,Duke Vincentio,0,0.0,2.0,0,0.0,,
Measure for Measure,1,Isabella,0,0.0,0.0,0,1.0,,
Measure for Measure,1,Provost,1,0.0,0.0,0,0.0,,
Measure for Measure,2,Duke Vincentio,1,0.0,0.0,0,0.0,,
Measure for Measure,2,Isabella,0,0.0,0.0,0,2.0,,
Measure for Measure,2,Provost,1,1.0,0.0,1,0.0,,
Measure for Measure,3,Duke Vincentio,0,1.0,1.0,0,0.0,,
Measure for Measure,3,Isabella,0,0.0,1.0,0,0.0,,
Measure for Measure,3,Provost,0,0.0,0.0,1,1.0,,
